File	Interval	h1-h2	h1*-h2*	H1-A1	H1-A3	cpp	center_of_gravity	Hammarberg_index	energy_below_500Hz	energy_below_1000Hz	F_dispersion1_3	F_dispersion1_5	median_pitch	jitter	shimmer	harmonicity	Energy_Profile__250Hz	500	750	1000	1250	1500	1750	2000	2250	2500	2750	3000	3250	3500	3750
output10	p	22.328624578355683	63.34328456714729	30.827969204735297	38.135356022569795	71.98086347059973	539.0723215120263	9.789553247648756	0.8663502026653779	0.8880919096222145	1262.740899151579	-1	189.55323762177224	--undefined--	--undefined--	--undefined--	-1.7715598594829052	-12.627282091245656	-20.502298783994732	-24.851769912755127	-26.038720900590285	-27.917810584980685	-30.296468149452128	-31.28928780249444	-18.29565386264171	-12.957668836258167	-14.817637107547004	-22.876501918123815	-22.40881780150442	-25.142789070184474	-19.982103833594522
__	l	22.01720514972524	62.78847875171889	22.02691319185862	41.276938432003035	72.46840151585184	354.96060034214315	12.624479039292334	0.9348149806571769	0.941971192111953	1343.9505483814976	-1	190.58315823270078	0.004694488524398483	0.09752931040996377	--undefined--	13.198787839350775	-0.6989736992048111	-9.391930132874546	-16.905461328606645	-19.612497598943143	-21.933492205856812	-22.810209206728725	-17.06559535064485	-3.190909898702282	-0.554641708048514	-5.730675746062638	-9.905064513576834	-11.616620367658488	-15.52864401495308	-13.220107911600138
__	iy	22.32547769929022	15.214053969547658	3.614336484709278	42.55364449166523	72.78816836450265	330.16636494318226	14.004864097821754	0.9446823817106749	0.9525125722567981	1344.0857009158033	1154.8623143218617	190.62803920821193	0.011120264451020854	0.02805707357484062	--undefined--	18.437191677983723	3.7305102113926063	-3.6061457117946527	-11.388292301360867	-13.903388935606728	-15.409398138887639	-14.785045989027791	-3.918244210746705	3.6551366982251126	1.4332150071303187	-8.06548458906706	-7.783282371689914	-9.337829803137238	-16.359354990604462	-14.873800465800095
__	z	22.84617972748355	40.53765438806179	16.762085326992523	40.747659268622996	73.31118553942955	2551.411245579932	13.919411930699246	0.6288327404375085	0.6336427041377238	1396.8306754251992	1103.7784203519775	192.29730649824745	0.07814174717780019	0.21054883449584794	--undefined--	10.023108697815175	-2.4365973833635155	-13.584551514932047	-16.65276469310871	-18.95166935039281	-20.75723280712004	-16.329530475145173	-14.538540065413834	-13.762171928279532	-16.03862883172572	-20.38983283793462	-19.079918665084914	-20.229978201883366	-22.50934681917361	-22.83550812441674
__	hh	-0.019124406149458296	-24.12827035520296	4.725592218581324	24.053879810767132	71.43381471271978	1827.5712541648877	-2.461664344344896	0.30317827743985454	0.3430530751838205	1296.818918958185	-1	174.46318600552684	--undefined--	--undefined--	--undefined--	3.302777993289074	-4.813065824697913	-6.604785848562114	-10.328555430048796	-16.358575287176542	-20.56616567099379	-15.484617084756117	-4.198979032857119	1.8349846489451827	5.408738629844867	3.6647999668961724	-8.067146308475103	-14.024108886667587	-13.417246063606608	-13.740090510356527
__	eh	6.537789816835534	-8.093011611568798	2.076072468601633	10.395340651460653	81.83361981903686	1027.025526612116	4.736555598046203	0.48800131389445484	0.7046043899557143	935.2086992780404	787.5554243496908	160.71385398018722	0.005981873350900662	0.07206372838311237	10.61257839672488	28.361591153937322	31.19653586940133	27.366526272390868	17.93629596338914	13.689942166952761	12.073831637943407	18.647389311518378	21.371382380288782	26.62509799018561	26.14684248965002	17.87942381450454	6.000704246765195	4.453416829271777	13.237248689059953	14.526436782945307
__	l	7.18349634412742	12.139097816301339	5.275856631454248	12.388980069008905	73.62309584225764	878.0976354523647	9.87280516010405	0.45642031264584376	0.7125603860853368	942.6658017109968	835.4833150013217	165.9682749055255	0.005064069189077341	0.0820873104630666	13.402266973452985	29.80168692501483	34.21777817002725	30.82140148926422	28.444893615450923	28.450788650867377	25.24474377145552	15.112051987002253	13.837497943489014	22.34625077729686	24.770324829396422	17.75445222533641	6.922271374448304	6.9518438731647745	16.877832856175203	18.478240385347405
__	p	1.7134493639374746	77.55372856309921	5.123178120973985	17.384509327347775	79.43403852274099	611.5257577588418	17.251566746808876	0.4134962862727842	0.9047507457398967	900.4625301095953	-1	171.65384745855266	0.07829380944908504	--undefined--	3.194191822468822	24.276174323010842	25.688737246159402	23.904382752323553	20.43758824296018	15.034464747469034	10.467896049920357	5.9182492938785325	5.119087834486087	5.527784491473318	3.9316657126154695	1.7000759170617359	-0.6417621745584062	-1.8489962534251647	-1.1936543383206564	5.060121403959574
__	m	10.184866979060654	-0.4090267706318585	6.217395607216263	12.560093335548931	74.0758489280184	250.54888932985315	24.890650848923794	0.9729698092036371	0.9914035443281719	1024.5869332894933	918.2639157130866	147.8984447403017	0.0049585178411660465	0.2260023746728292	16.108535753565747	30.318913204029382	25.56307391279047	12.899450640951024	12.356414119383508	5.09595334660723	-4.28525486956762	-0.5063126052860058	0.8191102395747119	3.080631991849188	3.1382166999442895	-3.1304738520567836	-11.082720876429601	-10.964566622743197	-9.55476986629705	-8.405792893945922
__	iy	-3.2513473926547007	-18.94204158756022	-0.7930789408090639	16.610581908072305	72.22536924944926	674.3464590187381	7.545955615673888	0.8294083742261607	0.8421279818517208	1284.2963725909467	-1	186.7560131996911	0.058099111423704414	0.27952673087055047	8.635600683554413	36.641146520346474	32.259511272645625	17.467718455354955	7.53251109340105	3.9020575869688527	1.247060821552256	1.8660774640398117	11.157651876746188	23.346344943174998	27.739024611279774	25.198087137929196	19.05011634457281	16.539156731648312	15.103441211437762	19.621494707357805
