文件名	音素序号	音素	音素起点时间	音素末点时间	是否为元音	音素末边界类型	音素内音高重音类型	所在词语序号	所在词语	词语起点时间	词语末点时间	词末边界类型	词内音高重音类型	
AM-F-2_12polite	4	t%	1.028	1.068	0	1	NULL	2	shut	0.788	1.068	1	H*
AM-F-2_12polite	5	sp	1.068	1.119	0	1	NULL	3	sp	1.068	1.119	1	NULL
AM-F-2_12polite	6	dhah%	1.119	1.232	1	1	NULL	4	the	1.119	1.232	1	NULL
AM-F-2_12polite	7	wihn%	1.232	1.440	1	0	!H**	5	window	1.232	1.753	4	!H** && L-H%
AM-F-2_12polite	8	dow%	1.440	1.753	1	4	L-H%	5	window	1.232	1.753	4	!H** && L-H%
AM-F-2_12polite	9	sil	1.753	2.187	0	0	L-H%	6	sil	1.753	2.187	0	L-H%
AM-F-2_2polite	1	sil	0	0.916	0	0	NULL	1	sil	0	0.916	0	NULL
AM-F-2_2polite	2	yah%	0.916	1.038	1	1	H*	2	you	0.916	1.038	1	H*
AM-F-2_2polite	3	k	1.038	1.111	0	0	NULL	3	could	1.038	1.205	1	NULL
AM-F-2_2polite	4	uhd%	1.111	1.205	1	1	NULL	3	could	1.038	1.205	1	NULL
AM-F-2_2polite	5	s	1.205	1.296	0	0	NULL	4	send	1.205	1.424	1	L*
AM-F-2_2polite	6	ehnd%	1.296	1.424	1	1	L*	4	send	1.205	1.424	1	L*
AM-F-2_2polite	7	aen%	1.424	1.519	1	1	NULL	5	an	1.424	1.519	1	NULL
AM-F-2_2polite	8	iy%	1.519	1.682	1	0	L+H**	6	email	1.519	2.162	4	L+H** && L-L%
AM-F-2_2polite	9	meyl%	1.682	2.162	1	4	L-L%	6	email	1.519	2.162	4	L+H** && L-L%
AM-F-2_2polite	10	sil	2.162	2.500	0	0	L-L%	7	sil	2.162	2.500	0	L-L%
AM-F-2_32impolite	1	sil	0	0.919	0	0	NULL	1	sil	0	0.919	0	NULL
AM-F-2_32impolite	2	yah%	0.919	1.105	1	1	NULL	2	you	0.919	1.105	1	NULL
AM-F-2_32impolite	3	k	1.105	1.166	0	0	NULL	3	could	1.105	1.240	1	NULL
AM-F-2_32impolite	4	uhd%	1.166	1.240	1	1	NULL	3	could	1.105	1.240	1	NULL
AM-F-2_32impolite	5	s	1.240	1.333	0	0	NULL	4	send	1.240	1.439	1	H*
AM-F-2_32impolite	6	ehnd%	1.333	1.439	1	1	H*	4	send	1.240	1.439	1	H*
AM-F-2_32impolite	7	aen%	1.439	1.565	1	1	NULL	5	an	1.439	1.565	1	NULL
AM-F-2_32impolite	8	iy%	1.565	1.769	1	0	H**	6	email	1.565	2.256	4	H**
AM-F-2_32impolite	9	meyl%	1.769	2.256	1	4	NULL	6	email	1.565	2.256	4	H**
AM-F-2_32impolite	10	sil	2.256	2.625	0	0	L-H%	7	sil	2.256	2.625	0	L-H%
AM-F-2_35impolite	1	sil	0	0.669	0	0	NULL	1	sil	0	0.669	0	NULL
AM-F-2_35impolite	2	sh	0.669	0.872	0	0	NULL	2	shut	0.669	1.050	1	H*
AM-F-2_35impolite	3	ah	0.872	0.956	1	0	H*	2	shut	0.669	1.050	1	H*
AM-F-2_35impolite	4	t%	0.956	1.050	0	1	NULL	2	shut	0.669	1.050	1	H*
AM-F-2_35impolite	5	dhah%	1.050	1.171	1	1	NULL	3	the	1.050	1.171	1	NULL
AM-F-2_35impolite	6	wihn%	1.171	1.508	1	0	H**	4	window	1.171	1.858	3	H**
AM-F-2_35impolite	7	dow%	1.508	1.858	1	3	NULL	4	window	1.171	1.858	3	H**
AM-F-2_35impolite	8	p	1.858	2.036	0	0	L-	5	please	1.858	2.700	4	L- && H**
AM-F-2_35impolite	9	liyz%	2.036	2.700	1	4	H**	5	please	1.858	2.700	4	L- && H**
AM-F-2_35impolite	10	sil	2.700	2.937	0	0	L-L%	6	sil	2.700	2.937	0	L-L%
AM-F-2_39impolite	1	sil	0	0.735	0	0	NULL	1	sil	0	0.735	0	NULL
AM-F-2_39impolite	2	t	0.735	0.823	0	0	NULL	2	turn	0.735	0.988	1	H*
AM-F-2_39impolite	3	ahn%	0.823	0.988	1	1	H*	2	turn	0.735	0.988	1	H*
AM-F-2_39impolite	4	dhah%	0.988	1.097	1	1	NULL	3	the	0.988	1.097	1	NULL
AM-F-2_39impolite	5	rey%	1.097	1.269	1	0	!H*	4	radio	1.097	1.602	2-	!H*
AM-F-2_39impolite	6	diyow%	1.269	1.602	1	2-	NULL	4	radio	1.097	1.602	2-	!H*
AM-F-2_39impolite	7	aa	1.602	1.970	1	0	!H**	5	off	1.602	2.196	4	!H** && L-L%
AM-F-2_39impolite	8	f%	1.970	2.196	0	4	L-L%	5	off	1.602	2.196	4	!H** && L-L%
AM-F-2_39impolite	9	sil	2.196	2.562	0	0	NULL	6	sil	2.196	2.562	0	NULL
AM-F-2_7polite	1	sil	0	0.862	0	0	NULL	1	sil	0	0.862	0	NULL
